,Info
address1,One Apple Park Way
city,Cupertino
state,CA
zip,95014
country,United States
phone,(408) 996-1010
website,https://www.apple.com
industry,Consumer Electronics
industryKey,consumer-electronics
industryDisp,Consumer Electronics
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California."
fullTimeEmployees,150000
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 63, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2024, 'totalPay': 16520856, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 60, 'title': 'Senior Vice President of Design, Watch, & Health', 'yearBorn': 1964, 'fiscalYear': 2024, 'totalPay': 5020737, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kevan  Parekh', 'age': 52, 'title': 'Senior VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sabih  Khan', 'title': 'Chief Operating Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Senior Director of Corporate Accounting', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Suhasini  Chandramouli', 'title': 'Director of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kristin Huguet Quayle', 'title': 'Vice President of Worldwide Communications', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Senior Vice President of Worldwide Marketing', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adrian  Perica', 'age': 50, 'title': 'Vice President of Corporate Development', 'yearBorn': 1974, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Fenger', 'title': 'VP of Worldwide Sales', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,7
boardRisk,1
compensationRisk,3
shareHolderRightsRisk,1
overallRisk,1
governanceEpochDate,1756684800
compensationAsOfEpochDate,1735603200
irWebsite,http://investor.apple.com/
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,254.43
open,254.825
dayLow,253.8201
dayHigh,255.919
regularMarketPreviousClose,254.43
regularMarketOpen,254.825
regularMarketDayLow,253.8201
regularMarketDayHigh,255.919
dividendRate,1.04
dividendYield,0.41
exDividendDate,1754870400
payoutRatio,0.1533
fiveYearAvgDividendYield,0.54
beta,1.109
trailingPE,38.80488
forwardPE,30.63297
volume,13715066
regularMarketVolume,13714905
averageVolume,55965241
averageVolume10days,66738580
averageDailyVolume10Day,66738580
bid,253.02
ask,256.97
bidSize,4
askSize,4
marketCap,3793062985728
fiftyTwoWeekLow,169.21
fiftyTwoWeekHigh,260.1
allTimeHigh,260.1
allTimeLow,0.049107
priceToSalesTrailing12Months,9.282504
fiftyDayAverage,229.3156
twoHundredDayAverage,222.012
trailingAnnualDividendRate,1.01
trailingAnnualDividendYield,0.0039696577
currency,USD
tradeable,False
enterpriseValue,3822166474752
profitMargins,0.24295999
floatShares,14814419318
sharesOutstanding,14840390000
sharesShort,118199377
sharesShortPriorMonth,127079143
sharesShortPreviousMonthDate,1755216000
dateShortInterest,1757894400
sharesPercentSharesOut,0.008
heldPercentInsiders,0.0197
heldPercentInstitutions,0.63648
shortRatio,2.47
shortPercentOfFloat,0.008
impliedSharesOutstanding,14900467828
bookValue,4.431
priceToBook,57.449783
lastFiscalYearEnd,1727481600
nextFiscalYearEnd,1759017600
mostRecentQuarter,1751068800
earningsQuarterlyGrowth,0.093
netIncomeToCommon,99280003072
trailingEps,6.56
forwardEps,8.31
lastSplitFactor,4:1
lastSplitDate,1598832000
enterpriseToRevenue,9.354
enterpriseToEbitda,26.974
52WeekChange,0.12475133
SandP52WeekChange,0.1668421
lastDividendValue,0.26
lastDividendDate,1754870400
quoteType,EQUITY
currentPrice,254.56
targetHighPrice,310.0
targetLowPrice,175.0
targetMeanPrice,243.19057
targetMedianPrice,243.0
recommendationMean,2.02128
recommendationKey,buy
numberOfAnalystOpinions,40
totalCash,55372001280
totalCashPerShare,3.731
ebitda,141696008192
totalDebt,101698002944
quickRatio,0.724
currentRatio,0.868
totalRevenue,408624988160
debtToEquity,154.486
