,Name,Position,URL,Most Recent Transaction,Latest Transaction Date,Shares Owned Directly,Position Direct Date
0,ADAMS KATHERINE L,General Counsel,,Sale,2025-04-02,179158,2025-04-02
1,AUSTIN WANDA M,Director,,Conversion of Exercise of derivative security,2025-01-31,1588,2025-01-31
2,COOK TIMOTHY D,Chief Executive Officer,,Sale,2025-04-02,3280300,2025-04-02
3,GORSKY ALEX,Director,,Conversion of Exercise of derivative security,2025-01-31,5539,2025-01-31
4,KONDO CHRISTOPHER,Officer,,Stock Gift,2025-08-25,15098,2025-08-25
5,LEVINSON ARTHUR D,Director,,Sale,2025-08-28,4125580,2025-08-28
6,O'BRIEN DEIRDRE,Officer,,Sale,2025-08-08,136687,2025-08-08
7,PAREKH KEVAN,Chief Financial Officer,,Sale,2025-04-23,4569,2025-04-23
8,WAGNER SUSAN L,Director,,Conversion of Exercise of derivative security,2025-01-31,68533,2025-01-31
9,WILLIAMS JEFFREY E,Chief Operating Officer,,Sale,2025-04-02,390059,2025-04-02
